name;intro;url;date;mark
爱尔兰人 / The Irishman;2019-09-27(纽约电影节) / 2019-11-01(美国点映) / 2019-11-27(美国网络) / 罗伯特·德尼罗 / 阿尔·帕西诺 / 乔·佩西 / 安娜·帕奎因 / 杰西·普莱蒙 / 哈威·凯特尔 / 斯蒂芬·格拉汉姆 / 鲍比·坎纳瓦尔 / 杰克·休斯顿 / 阿莱卡萨·帕拉迪诺 / 凯瑟琳·纳杜奇 / 多米尼克·隆巴多兹 / 雷·罗马诺 / 塞巴斯蒂安·马尼斯科 / 杰克·霍夫曼 / 保罗·本-维克托 / 斯蒂芬妮·库尔特祖巴 / 莎伦·菲弗 / 路易斯·坎瑟米 / 茵迪亚·恩能加 / J.C.麦肯泽 / 巴里·普赖默斯 / 吉姆·诺顿 / 盖里·巴萨拉巴 / 玛格丽特·安妮·佛罗伦斯 / 约翰·斯库蒂 / 约翰·塞纳迭姆博 / 大卫·阿隆·贝克 / 桃乐丝·麦卡锡 / 凯文·凯恩 / 加里·帕斯托雷 / 约瑟夫·罗素 / 凯文·奥罗克 / 娜塔莎·罗曼诺娃 / 杰里米·卢克 / 凯莉·P·威廉姆斯 / 詹妮弗·马奇 / 保罗·鲍格才 / 蒂姆·内夫 / 斯蒂芬·梅尔勒 / 克雷格·文森特 / 比利·史密斯 / 布莱斯·科里根 / 斯泰西·爱丽丝·科恩 / 吉诺·卡法雷利 / 拉里·罗曼诺 / 罗伯特·富纳罗 / 维罗妮卡·阿利奇诺 / 克劳黛特·拉利 / 詹姆斯·洛林兹 / 阿什莉·诺斯 / 肯·斯拉迪克 / 帕特里克·加洛 / 杰伊·斯特凡 / 路西·加里娜 / 美国 / 马丁·斯科塞斯 / 209分钟 / 爱尔兰人 / 剧情 / 传记 / 犯罪 / 查尔斯·布兰特 Charles Brandt / 斯蒂文·泽里安 Steven Zaillian / 英语 / 意大利语 / 拉丁语 / 西班牙语;https://movie.douban.com/subject/6981153/;2019-12-01;5
他们已不再变老 / They Shall Not Grow Old;2018-10-16(伦敦电影节) / 2018-11-09(英国) / 2019-11-11(中国大陆) / 英国 / 新西兰 / www.theyshallnotgrowold.film / 彼得·杰克逊 / 99分钟 / 96分钟(中国大陆) / 他们已不再变老 / 历史 / 战争 / 纪录片 / 英语;https://movie.douban.com/subject/30242710/;2019-11-26;4
好莱坞往事 / Once Upon a Time... in Hollywood;2019-05-21(戛纳电影节) / 2019-07-26(美国) / 2019(中国大陆) / 莱昂纳多·迪卡普里奥 / 布拉德·皮特 / 玛格特·罗比 / 埃米尔·赫斯基 / 玛格丽特·库里 / 蒂莫西·奥利芬特 / 茱莉亚·巴特斯 / 奥斯汀·巴特勒 / 达科塔·范宁 / 布鲁斯·邓恩 / 麦克·莫 / 卢克·贝里 / 戴米恩·路易斯 / 库尔特·拉塞尔 / 阿尔·帕西诺 / 玛雅·霍克 / 西德妮·斯威尼 / 哈莉·奎恩·史密斯 / 达蒙·海瑞曼 / 凯特·贝兰特 / 洛伦扎·伊佐 / 迈克尔·马德森 / 拉莫·威利斯 / 斯科特·麦克纳里 / 小克利夫顿·克林斯 / 维多利亚·佩德雷蒂 / 吕蓓卡·盖哈特 / 佐伊·贝尔 / 莱斯利·贝加 / 瑞贝卡·瑞滕豪斯 / 萨曼莎·罗宾森 / 莉娜·邓纳姆 / 德瑞玛·沃克 / 克鲁·古拉格 / 丹妮拉·皮克 / 布伦达·瓦卡罗 / 尼古拉斯·哈蒙德 / 米奇·麦迪森 / 詹姆斯·兰德里·赫伯特 / 妮可·加利西亚 / 麦迪逊·贝蒂 / 佩内洛普·卡普迪雅 / 莫里斯·孔特 / 科斯塔·罗宁 / 卢·坦普尔 / 斯宾塞·加雷特 / 布丽安娜·乔伊·乔默 / 奥玛·杜姆 / 娜塔莉·科恩 / 拉法尔·扎维鲁查 / 马尔科·罗德里格斯 / 堪萨丝·宝琳 / 维森特·拉雷斯卡 / 殷巴尔·阿米拉夫 / 拉蒙·弗兰克 / 莫妮卡·斯塔吉丝 / 克雷格·斯塔克 / 大卫·斯廷 / 朱丽叶·吉达 / 埃迪·佩雷斯 / 布蕾迪·拉多娜 / 凯拉·拉多姆斯基 / 布里安娜·温 / 卡萝莱娜·瓦加斯 / 加里·派怀特 / 詹姆斯·麦斯登 / 蒂姆·罗斯 / 马丁·科夫 / 詹姆斯·瑞马尔 / 丹尼·斯特朗 / 苏珊妮·拉切塞斯 / 昆汀·塔伦蒂诺 / 艾丽西亚·卡拉米 / 美国 / 英国 / 中国大陆 / www.sonypictures.com/movies/onceuponatimeinhollywood / 昆汀·塔伦蒂诺 / 165分钟 / 161分钟(戛纳电影节) / 162分钟(院线版) / 171分钟(加长版) / 好莱坞往事 / 剧情 / 喜剧 / 昆汀·塔伦蒂诺 Quentin Tarantino / 英语 / 意大利语 / 西班牙语;https://movie.douban.com/subject/27087724/;2019-11-25;4
搏击俱乐部 / Fight Club;1999-09-10(威尼斯电影节) / 1999-10-15(美国) / 爱德华·诺顿 / 布拉德·皮特 / 海伦娜·伯翰·卡特 / 扎克·格雷尼尔 / 米特·洛夫 / 杰瑞德·莱托 / 艾恩·贝利 / 里奇蒙德·阿奎特  / 乔治·马奎尔 / 鲍勃·斯蒂芬森 / Carl Ciarfalio / 斯图尔特·布拉姆博格 / 马特·温斯顿 / 劳伦·桑切斯 / 迈克尔·肖姆斯·维尔斯 / 保罗·卡拉夫特斯 / Scotch Ellis Loring / 大卫·安德鲁斯 / Andi Carnick / Markus Redmond / 欧根妮·邦杜兰特 / Tyrone R. Livingston / Kevin Scott Mack / Bennie Moore / Evan Mirand / 乔伊·比索奈特 / Christina Cabot / 大卫·李·史密斯 / 霍特·麦克卡兰尼 / 美国 / 德国 / 大卫·芬奇 / 139 分钟 / 搏击俱乐部 / 剧情 / 动作 / 悬疑 / 惊悚 / 恰克·帕拉尼克 Chuck Palahniuk / Jim Uhls / 英语;https://movie.douban.com/subject/1292000/;2019-11-20;5
不良教育 / La mala educación;2004-09-16 / 盖尔·加西亚·贝纳尔 / 费莱·马丁内斯 / 丹尼尔·希梅内斯·卡乔 / 路易斯·奥马 / 弗朗西斯科·梅斯特 / 弗郎西斯科·博伊拉 / 胡安·费尔南德斯 / 纳乔·佩雷斯 / 哈维尔·卡马拉 / 阿尔维托·费雷罗 / 佩特拉·马丁内斯 / Roberto Hoyas / 阿古斯丁·阿莫多瓦 / 佩德罗·阿莫多瓦 / 波尔·莫南 / 萨拉·蒙铁儿 / 蕾欧诺·瓦特林 / 何塞·马利亚·亚兹皮克 / 西班牙 / 佩德罗·阿莫多瓦 / 106 分钟 / 不良教育 / 剧情 / 犯罪 / 悬疑 / 惊悚 / 同性 / 佩德罗·阿莫多瓦 Pedro Almodóvar / 西班牙语 / 拉丁语;https://movie.douban.com/subject/1291878/;2019-11-19;4
不良教育 / The Bad Education Movie;2015-08-21(英国) / 妲露拉·莱莉 / 乔安娜·斯坎伦 / 克拉克·彼得斯 / 杰克·怀特霍尔 / 马修·豪勒 / 史蒂夫·斯皮尔斯 / 莎拉·索蕾玛尼 / 哈里·恩菲尔德 / 托尼·毛德斯雷 / 莱顿·威廉姆斯 / 史蒂夫·奥拉姆 / 马克·伍顿 / 查理·沃纳姆 / 妮琪·罗南克莱斯 / 杰瑞米·艾文 / 英国 / 埃利奥特·赫加蒂 / 90分钟 / 不良教育 / 喜剧 / 杰克·怀特霍尔 Jack Whitehall / 弗雷迪·赛伯 Freddy Syborn / 英语;https://movie.douban.com/subject/26388980/;2019-11-19;0
星际牛仔 / カウボーイビバップ;1998-04-03(日本) / 山寺宏一 / 石冢运升 / 林原惠美 / 多田葵 / 若本规夫 / 高岛雅罗 / 伊藤和晃 / 一城美由希 / 绿川光 / 桧山修之 / 中博史 / 长泽美树 / 垂木勉 / 小山武宏  / 堀江由衣 / 斋贺光希 / 富田耕生 / 辻亲八 / 中田和宏 / 真山亚子 / 岸野幸正 / 喜田亚由美 / 内川蓝维 / 浅野琉璃 / 儿玉孝子 / 水内清光 / 中村秀利 / 日本 / 渡边信一郎 / 25分钟 / 星际牛仔 / 剧情 / 动作 / 科幻 / 动画 / 犯罪 / 西部 / 村井贞之 Sadayuki Murai / 信本敬子 Keiko Nobumoto / 渡边信一郎 Shinichirô Watanabe / 佐藤大 Dai Sato / 山口亮太 Ryota Yamaguchi / 日语;https://movie.douban.com/subject/1424406/;2019-11-18;5
新龙门客栈 / 新龍門客棧;1992-08-27(中国香港) / 2012-02-24(中国大陆) / 张曼玉 / 林青霞 / 梁家辉 / 甄子丹 / 熊欣欣 / 刘洵 / 任世官 / 吴启华 / 袁祥仁 / 徐锦江 / 郑希怡 / 王彤川 / 王伟顺 / 蔡浩 / 陈志辉 / 廖静妮 / 邢金沙 / 冯雪瑞 / 魏晶琦 / 施懿 / 元彬 / 中国香港 / 中国大陆 / 李惠民 / 姜明海 / 88分钟 / 99分钟 / 103分钟(美国) / 新龙门客栈 / 动作 / 爱情 / 武侠 / 古装 / 徐克 Hark Tsui / 张炭 Cheung Tan / 吕晓禾 Xiaohe Lü / 司徒慧焯 Roy Szeto / 何冀平 Jiping He / 苏叔阳 Shuyang Su / 汉语普通话 / 粤语;https://movie.douban.com/subject/1292287/;2019-11-15;0
欲望法则 / La ley del deseo;1987-03-05 / 欧塞维奥·庞塞拉 / 卡门·毛拉 / 安东尼奥·班德拉斯 / 米格尔·莫利纳 / 费尔南多·古林 / 赫尔曼·科沃斯 / 曼努埃拉·贝拉斯科 / 佩德罗·阿莫多瓦 / 阿古斯丁·阿莫多瓦 / 西班牙 / 佩德罗·阿莫多瓦 / 102 分钟 / 欲望法则 / 剧情 / 爱情 / 同性 / Pedro Almodóvar / 西班牙语;https://movie.douban.com/subject/1300951/;2019-11-15;0
小丑 / Joker;2019-08-31(威尼斯电影节) / 2019-10-04(美国) / 华金·菲尼克斯 / 罗伯特·德尼罗 / 马克·马龙 / 莎姬·贝兹 / 谢伊·惠格姆 / 弗兰西丝·康罗伊 / 布莱恩·考伦 / 布莱恩·泰里·亨利 / 布莱特·卡伦 / 道格拉斯·霍奇斯 / 格伦·弗莱施勒 / 比尔·坎普 / 乔什·帕斯 / 但丁·佩雷拉-奥尔森 / 玛丽·凯特·马拉特 / 迈克尔·本茨 / 莎珑·华盛顿 / 桑德拉·詹姆斯 / 托尼·赫德 / 曼德拉·贝拉米 / 乔·奥克曼 / 卡尔·伦德施泰特 / 米克·奥罗克 / 大卫·吉布森 / 伊万·罗萨多 / 安妮·比萨比亚 / 布莱斯·科里根 / 乔恩·道格拉斯·雷尼 / 艾恩斯利·丹恩 / 杰森·约翰·奇卡莱塞 / 加里·古尔曼 / 贾斯汀·塞洛克斯 / 本·沃黑特 / 美国 / 加拿大 / www.jokermovie.net / 托德·菲利普斯 / 122分钟 / 118分钟(威尼斯电影节) / 小丑 / 剧情 / 犯罪 / 惊悚 / 托德·菲利普斯 Todd Phillips / 斯科特·西尔弗 Scott Silver / 鲍勃·凯恩 Bob Kane / 比尔·芬格 Bill Finger / 杰瑞·罗宾逊 Jerry Robinson / 英语;https://movie.douban.com/subject/27119724/;2019-11-11;4
